provisional_work_key,representative_title,catalog_ids,missing_or_conflicting_roles,current_values,candidate_companies,best_confidence,conflict_reason,catalog_entry_count,company_game_impact,source_urls,recommended_next_research,priority
realms of arkania blade of destiny,Realms of Arkania: Blade of Destiny,ps4-realms-of-arkania-blade-of-destiny,developer | physical_publisher,developer=UIG Entertainment; physical_publisher=UIG Entertainment,Crafty Studios [unresolved] | UIG Entertainment [uig-entertainment] | United Independent Entertainment [unresolved],HIGH,COMPANY_ENTITY_UNRESOLVED,1,uig-entertainment:19,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/473806 | https://store.playstation.com/es-es/product/EP8935-CUSA02745_00-ROABODPS4EU00000 | https://store.steampowered.com/app/237550 | https://www.pricecharting.com/game/pal-playstation-4/realms-of-arkania-blade-of-destiny,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
realms of arkania star trail,Realms of Arkania : star trail,ps4-realms-of-arkania-star-trail,developer | physical_publisher,developer=UIG Entertainment; physical_publisher=UIG Entertainment,Crafty Studios [unresolved] | UIG Entertainment [uig-entertainment] | United Independent Entertainment GmbH [unresolved],HIGH,COMPANY_ENTITY_UNRESOLVED,1,uig-entertainment:19,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/476645 | https://store.playstation.com/es-es/product/EP8935-CUSA02744_00-STARTRAIL0000001 | https://store.steampowered.com/app/288860 | https://www.pricecharting.com/game/pal-playstation-4/realms-of-arkania-star-trail,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
red dead redemption 2,Red Dead Redemption 2 [Special Edition],ps4-red-dead-redemption-2-special-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Rockstar Games [rockstar-games] | Take-Two Interactive [take-two-interactive],HIGH,MISSING_PHYSICAL_PUBLISHER,4,rockstar-games:49 | take-two-interactive:23,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://store.playstation.com/es-es/product/EP1004-CUSA08519_00-REDEMPTION000002 | https://store.steampowered.com/app/1174180 | https://www.pricecharting.com/game/pal-playstation-4/red-dead-redemption-2-special-edition,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
red dead redemption 2,Red Dead Redemption 2 [Steelbook Edition],ps4-red-dead-redemption-2-steelbook-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Rockstar Games [rockstar-games] | Take-Two Interactive [take-two-interactive],HIGH,MISSING_PHYSICAL_PUBLISHER,4,rockstar-games:49 | take-two-interactive:23,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://store.playstation.com/es-es/product/EP1004-CUSA08519_00-REDEMPTION000002 | https://store.steampowered.com/app/1174180 | https://www.pricecharting.com/game/pal-playstation-4/red-dead-redemption-2-steelbook-edition,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
red faction guerrilla re mars tered,Red Faction: Guerrilla Re-Mars-tered,ps4-red-faction-guerrilla-re-mars-tered,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Kaiko [kaiko] | THQ Nordic [unresolved] | Volition [volition],VERY_HIGH,MISSING_BOTH_CORE_ROLES,1,kaiko:4 | volition:16,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/211664 | https://store.playstation.com/es-es/product/EP4389-CUSA09598_00-REDFACTIONGDEU01 | https://store.steampowered.com/app/667720 | https://www.pricecharting.com/game/pal-playstation-4/red-faction-guerrilla-re-mars-tered | https://www.wikidata.org/wiki/Q62000428,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
relayer,Relayer,ps4-relayer,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Clouded Leopard Entertainment [clouded-leopard-entertainment] | Dragami Games [dragami-games] | Kadokawa Games [kadokawa-games],MEDIUM,MISSING_BOTH_CORE_ROLES,1,clouded-leopard-entertainment:1 | dragami-games:2 | kadokawa-games:23,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://store.playstation.com/es-es/product/EP8139-CUSA31439_00-RELAYERGAME00000 | https://www.pricecharting.com/game/pal-playstation-4/relayer | https://www.wikidata.org/wiki/Q111190049,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil 2,Resident Evil 2,ps4-resident-evil-2,developer | physical_publisher,developer=Capcom; physical_publisher=(empty),Capcom [capcom],HIGH,IDENTIFIER_OR_TITLE_CONFLICT | MISSING_PHYSICAL_PUBLISHER,6,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/152940 | https://store.playstation.com/es-es/product/EP0102-CUSA09171_00-BH2R000000000001 | https://store.steampowered.com/app/883710 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-2,Resolver primero el identificador y el título exactos de esta ficha.,3
resident evil 2,Resident Evil 2 [Collector's Edition],ps4-resident-evil-2-collector%27s-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],HIGH,MISSING_PHYSICAL_PUBLISHER,6,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/152940 | https://store.playstation.com/es-es/product/EP0102-CUSA09171_00-BH2R000000000001 | https://store.steampowered.com/app/883710 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-2-collector%27s-edition,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil 2,Resident Evil 2 [Not For Resale],ps4-resident-evil-2-not-for-resale,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],HIGH,MISSING_BOTH_CORE_ROLES,6,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/152940 | https://store.playstation.com/es-es/product/EP0102-CUSA09171_00-BH2R000000000001 | https://store.steampowered.com/app/883710 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-2-not-for-resale,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil 2,Resident Evil 2 [Pix'n Love Edition],ps4-resident-evil-2-pix%27n-love-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],HIGH,MISSING_PHYSICAL_PUBLISHER,6,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/152940 | https://store.playstation.com/es-es/product/EP0102-CUSA09171_00-BH2R000000000001 | https://store.steampowered.com/app/883710 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-2-pix%27n-love-edition,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil 3,Resident Evil 3 [Collector's Edition],ps4-resident-evil-3-collector%27s-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],HIGH,MISSING_PHYSICAL_PUBLISHER,5,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/173443 | https://store.playstation.com/es-es/product/EP0102-CUSA14123_00-BH3ROFF000000001 | https://store.steampowered.com/app/952060 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-3-collector%27s-edition,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil 3,Resident Evil 3 [Not For Resale],ps4-resident-evil-3-not-for-resale,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],HIGH,MISSING_BOTH_CORE_ROLES,5,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/173443 | https://store.playstation.com/es-es/product/EP0102-CUSA14123_00-BH3ROFF000000001 | https://store.steampowered.com/app/952060 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-3-not-for-resale,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil 4 remake,Resident Evil 4 Remake,ps4-resident-evil-4-remake,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],MEDIUM,MISSING_BOTH_CORE_ROLES,5,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-4-remake,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil 4 remake,Resident Evil 4 Remake [Collector's Edition],ps4-resident-evil-4-remake-collector%27s-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],HIGH,MISSING_DEVELOPER,5,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-4-remake-collector%27s-edition,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil 4 remake,Resident Evil 4 Remake [Lenticular Edition],ps4-resident-evil-4-remake-lenticular-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],MEDIUM,MISSING_BOTH_CORE_ROLES,5,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-4-remake-lenticular-edition,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil 5,Resident Evil 5,ps4-resident-evil-5,developer | physical_publisher,developer=Capcom; physical_publisher=Capcom,Capcom [capcom],HIGH,IDENTIFIER_OR_TITLE_CONFLICT,2,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/162364 | https://store.playstation.com/es-es/product/EP0102-CUSA04284_00-RE5HDPS400000000 | https://store.steampowered.com/app/21690 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-5,Resolver primero el identificador y el título exactos de esta ficha.,3
resident evil 5,Resident Evil 5 [Not For Resale],ps4-resident-evil-5-not-for-resale,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],HIGH,MISSING_BOTH_CORE_ROLES,2,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/162364 | https://store.playstation.com/es-es/product/EP0102-CUSA04284_00-RE5HDPS400000000 | https://store.steampowered.com/app/21690 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-5-not-for-resale,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil 7 biohazard,Resident Evil 7 Biohazard [Collector's Edition],ps4-resident-evil-7-biohazard-collector%27s-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],HIGH,MISSING_PHYSICAL_PUBLISHER,7,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://store.playstation.com/es-es/product/EP0102-CUSA03842_00-BH70000000000001 | https://store.steampowered.com/app/418370 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-7-biohazard-collector%27s-edition,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil 7 biohazard,Resident Evil 7 Biohazard [Lenticular Edition],ps4-resident-evil-7-biohazard-lenticular-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],HIGH,MISSING_PHYSICAL_PUBLISHER,7,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://store.playstation.com/es-es/product/EP0102-CUSA03842_00-BH70000000000001 | https://store.steampowered.com/app/418370 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-7-biohazard-lenticular-edition,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil 7 biohazard,Resident Evil 7 Biohazard [Not For Resale],ps4-resident-evil-7-biohazard-not-for-resale,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],HIGH,MISSING_BOTH_CORE_ROLES,7,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://store.playstation.com/es-es/product/EP0102-CUSA03842_00-BH70000000000001 | https://store.steampowered.com/app/418370 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-7-biohazard-not-for-resale,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil revelations 2,Resident Evil Revelations 2 [Not For Resale],ps4-resident-evil-revelations-2-not-for-resale,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],HIGH,MISSING_BOTH_CORE_ROLES,2,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/25725 | https://store.playstation.com/es-es/product/EP0102-CUSA00804_00-BHR2HGTRIALPS401 | https://store.steampowered.com/app/287290 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-revelations-2-not-for-resale | https://www.wikidata.org/wiki/Q18203301,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil village,Resident Evil Village,ps4-resident-evil-village,developer | physical_publisher,developer=Capcom; physical_publisher=Capcom,Capcom Entertainment Europe Ltd. [unresolved] | Capcom [capcom],HIGH,COMPANY_ENTITY_UNRESOLVED,4,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/201876 | https://store.playstation.com/es-es/product/EP0102-CUSA18008_00-VILLAGEFULLGAMEX | https://store.steampowered.com/app/1196590 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-village,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
resident evil village,Resident Evil Village [Collector's Edition],ps4-resident-evil-village-collector%27s-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],HIGH,MISSING_PHYSICAL_PUBLISHER,4,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/201876 | https://store.playstation.com/es-es/product/EP0102-CUSA18008_00-VILLAGEFULLGAMEX | https://store.steampowered.com/app/1196590 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-village-collector%27s-edition,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
resident evil village,Resident Evil Village [Gold Edition],ps4-resident-evil-village-gold-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Capcom [capcom],HIGH,MISSING_PHYSICAL_PUBLISHER,4,capcom:668,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/201876 | https://store.playstation.com/es-es/product/EP0102-CUSA18008_00-VILLAGEFULLGAMEX | https://store.steampowered.com/app/1196590 | https://www.pricecharting.com/game/pal-playstation-4/resident-evil-village-gold-edition,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
retro city rampage dx,Retro City Rampage DX,ps4-retro-city-rampage-dx,developer | physical_publisher,"developer=Vblank Entertainment; physical_publisher=Vblank Entertainment, D3 Publisher",D3 Publisher Inc [d3-publisher] | Vblank Entertainment [vblank-entertainment],HIGH,COMPOSITE_CREDIT,1,d3-publisher:53 | vblank-entertainment:3,https://store.playstation.com/es-es/product/EP2077-CUSA01381_00-RETROCITYRAMPAGE | https://store.steampowered.com/app/204630 | https://www.pricecharting.com/game/pal-playstation-4/retro-city-rampage-dx,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
reus,Reus,ps4-reus,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Abbey Games [unresolved] | Soedesco [soedesco],HIGH,MISSING_BOTH_CORE_ROLES | COMPANY_ENTITY_UNRESOLVED,1,soedesco:58,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/473681 | https://store.playstation.com/es-es/product/EP4541-CUSA04667_00-REUSPS4000000000 | https://store.steampowered.com/app/222730 | https://www.pricecharting.com/game/pal-playstation-4/reus | https://www.wikidata.org/wiki/Q16672675,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
revita,Revita,ps4-revita,developer | physical_publisher,developer=(empty); physical_publisher=Red Art Games,BenStar [unresolved] | Red Art Games [red-art-games],HIGH,MISSING_DEVELOPER,1,red-art-games:122,https://gamesdb.launchbox-app.com/games/details/476676 | https://store.playstation.com/es-es/product/EP1302-CUSA40534_00-REVITAPS4SIEE000 | https://store.steampowered.com/app/1175460 | https://www.pricecharting.com/game/pal-playstation-4/revita,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
reynatis,Reynatis: Deluxe Edition,ps4-reynatis-deluxe-edition,developer | physical_publisher,developer=FURYU Corporation; physical_publisher=(empty),FURYU Corporation [furyu] | NIS America [unresolved] | Natsume Atari [natsume-atari],HIGH,MISSING_PHYSICAL_PUBLISHER,2,furyu:18 | natsume-atari:5,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/476680 | https://store.playstation.com/es-es/product/EP1063-CUSA46984_00-REYNATISPS4EU000 | https://store.steampowered.com/app/2738750 | https://www.pricecharting.com/game/pal-playstation-4/reynatis-deluxe-edition,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
reynatis,Reynatis [Limited Edition],ps4-reynatis-limited-edition,developer | physical_publisher,developer=FuRyu Corporation; physical_publisher=NIS America,FURYU Corporation [furyu] | NIS America [unresolved] | Natsume Atari [natsume-atari],HIGH,COMPANY_ENTITY_UNRESOLVED,2,furyu:18 | natsume-atari:5,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/476680 | https://store.playstation.com/es-es/product/EP1063-CUSA46984_00-REYNATISPS4EU000 | https://store.steampowered.com/app/2738750 | https://www.pricecharting.com/game/pal-playstation-4/reynatis-limited-edition,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
ride 4,Ride 4,ps4-ride-4,developer | physical_publisher,developer=Milestone S.r.l.; physical_publisher=(empty),Bandai Namco Entertainment [bandai-namco-entertainment] | Milestone S.r.l. [unresolved] | Milestone srl [milestone-srl],VERY_HIGH,COMPANY_ENTITY_UNRESOLVED | MISSING_PHYSICAL_PUBLISHER,2,bandai-namco-entertainment:333 | milestone-srl:4,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/211856 | https://store.playstation.com/es-es/product/EP4356-CUSA18194_00-RIDE4FULLGAME000 | https://store.steampowered.com/app/1259980 | https://www.pricecharting.com/game/pal-playstation-4/ride-4 | https://www.wikidata.org/wiki/Q99655327,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
ride 4,Ride 4 [Promo],ps4-ride-4-promo,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Bandai Namco Entertainment [bandai-namco-entertainment] | Milestone S.r.l. [unresolved] | Milestone srl [milestone-srl],HIGH,MISSING_BOTH_CORE_ROLES,2,bandai-namco-entertainment:333 | milestone-srl:4,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/211856 | https://store.playstation.com/es-es/product/EP4356-CUSA18194_00-RIDE4FULLGAME000 | https://store.steampowered.com/app/1259980 | https://www.pricecharting.com/game/pal-playstation-4/ride-4-promo | https://www.wikidata.org/wiki/Q99655327,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
rims racing,RiMS Racing,ps4-rims-racing,developer | physical_publisher,developer=Raceward Studio; physical_publisher=(empty),Nacon Studio Milan [unresolved] | Nacon [nacon] | Raceward Studio [raceward-studio],VERY_HIGH,MISSING_PHYSICAL_PUBLISHER,1,nacon:51 | raceward-studio:2,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/473736 | https://store.playstation.com/es-es/product/EP4008-CUSA23640_00-RIMS000000000000 | https://store.steampowered.com/app/1346010 | https://www.pricecharting.com/game/pal-playstation-4/rims-racing,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
riot civil unrest,Riot Civil Unrest,ps4-riot-civil-unrest,developer | physical_publisher,"developer=Leonard Menchiari, IV Productions; physical_publisher=Merge Games",IV Productions [unresolved] | Ivan Venturi Productions [unresolved] | Leonard Menchiari [unresolved] | Merge Games [merge-games],HIGH,COMPANY_ENTITY_UNRESOLVED | COMPOSITE_CREDIT | IDENTIFIER_OR_TITLE_CONFLICT,2,merge-games:66,https://gamesdb.launchbox-app.com/games/details/473781 | https://store.playstation.com/es-es/product/EP1121-CUSA13018_00-0000000000000000 | https://store.steampowered.com/app/342310 | https://www.pricecharting.com/game/pal-playstation-4/riot-civil-unrest,Resolver primero el identificador y el título exactos de esta ficha.,3
riot civil unrest,Riot Civil Unrest [Signature Edition],ps4-riot-civil-unrest-signature-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),IV Production [unresolved] | IV Productions [unresolved] | Ivan Venturi Productions [unresolved] | Leonard Menchiari [unresolved] | Merge Games [merge-games],HIGH,MISSING_BOTH_CORE_ROLES | COMPANY_ENTITY_UNRESOLVED,2,merge-games:66,https://gamesdb.launchbox-app.com/games/details/473781 | https://store.steampowered.com/app/342310 | https://www.pricecharting.com/game/pal-playstation-4/riot-civil-unrest-signature-edition,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
rise of the tomb raider 20 year celebration,Rise of the Tomb Raider: 20 Year Celebration,ps4-rise-of-the-tomb-raider-20-year-celebration,developer | physical_publisher,developer=Crystal Dynamics; physical_publisher=(empty),Crystal Dynamics [crystal-dynamics] | Eidos Montreal [eidos-montreal],MEDIUM,MISSING_PHYSICAL_PUBLISHER,3,crystal-dynamics:63 | eidos-montreal:11,https://gamesdb.launchbox-app.com/games/details/21399 | https://www.pricecharting.com/game/pal-playstation-4/rise-of-the-tomb-raider-20-year-celebration | https://www.wikidata.org/wiki/Q92204235,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
rise of the tomb raider 20 year celebration,Rise of the Tomb Raider: 20 Year Celebration [Art Book Edition],ps4-rise-of-the-tomb-raider-20-year-celebration-art-book-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Crystal Dynamics [crystal-dynamics] | Eidos Montreal [eidos-montreal],LOW,MISSING_BOTH_CORE_ROLES,3,crystal-dynamics:63 | eidos-montreal:11,https://gamesdb.launchbox-app.com/games/details/21399 | https://www.pricecharting.com/game/pal-playstation-4/rise-of-the-tomb-raider-20-year-celebration-art-book-edition | https://www.wikidata.org/wiki/Q92204235,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
rise of the tomb raider 20 year celebration,Rise of the Tomb Raider: 20 Year Celebration [Collector's Edition],ps4-rise-of-the-tomb-raider-20-year-celebration-collector%27s-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Crystal Dynamics [crystal-dynamics] | Eidos Montreal [eidos-montreal] | Square Enix [unresolved],MEDIUM,MISSING_BOTH_CORE_ROLES,3,crystal-dynamics:63 | eidos-montreal:11,https://gamesdb.launchbox-app.com/games/details/21399 | https://www.pricecharting.com/game/pal-playstation-4/rise-of-the-tomb-raider-20-year-celebration-collector%27s-edition | https://www.wikidata.org/wiki/Q92204235,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
rising hell,Rising Hell,ps4-rising-hell,developer | physical_publisher,developer=(empty); physical_publisher=Strictly Limited Games,Strictly Limited Games [strictly-limited-games] | Tahoe Games [unresolved] | Toge Productions [toge-productions],HIGH,COMPANY_ENTITY_UNRESOLVED | MISSING_DEVELOPER,2,strictly-limited-games:62 | toge-productions:5,https://gamesdb.launchbox-app.com/games/details/476668 | https://store.playstation.com/es-es/product/EP5438-CUSA23626_00-0913287346646891 | https://store.steampowered.com/app/657000 | https://www.pricecharting.com/game/pal-playstation-4/rising-hell,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
rising hell,Rising Hell [Special Limited Edition],ps4-rising-hell-special-limited-edition,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Strictly Limited Games [strictly-limited-games] | Tahoe Games [unresolved] | Toge Productions [toge-productions],HIGH,MISSING_BOTH_CORE_ROLES | COMPANY_ENTITY_UNRESOLVED,2,strictly-limited-games:62 | toge-productions:5,https://gamesdb.launchbox-app.com/games/details/476668 | https://store.playstation.com/es-es/product/EP5438-CUSA23626_00-0913287346646891 | https://store.steampowered.com/app/657000 | https://www.pricecharting.com/game/pal-playstation-4/rising-hell-special-limited-edition,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
road 96,Road 96,ps4-road-96,developer | physical_publisher,developer=(empty); physical_publisher=Merge Games,DigixArt [unresolved] | Digixart [unresolved] | Merge Games [merge-games],HIGH,COMPANY_ENTITY_UNRESOLVED | MISSING_DEVELOPER,1,merge-games:66,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://gamesdb.launchbox-app.com/games/details/473684 | https://store.playstation.com/es-es/product/EP3617-CUSA30888_00-ROAD96GEN8GAME00 | https://store.steampowered.com/app/1466640 | https://www.pricecharting.com/game/pal-playstation-4/road-96,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
road rage,Road Rage,ps4-road-rage,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Maximum Games [maximum-games] | Team 6 Studios [unresolved] | Team 6 [unresolved],HIGH,MISSING_BOTH_CORE_ROLES | COMPANY_ENTITY_UNRESOLVED,1,maximum-games:92,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(M%E2%80%93Z) | https://store.playstation.com/es-es/product/EP1877-CUSA06426_00-ROADRAGEMAINGAME | https://store.steampowered.com/app/499210 | https://www.pricecharting.com/game/pal-playstation-4/road-rage,Resolver el nombre contra una entidad existente; no crear ni fusionar automáticamente.,3
robotics notes elite and dash double pack,Robotics Notes Elite And Dash Double Pack,ps4-robotics-notes-elite-and-dash-double-pack,physical_publisher,developer=Mages; physical_publisher=Numskull Games,Numskull Games Ltd. [numskull-games],HIGH,MULTI_PRODUCT_REVIEW,1,numskull-games:25,https://www.pricecharting.com/game/pal-playstation-4/robotics-notes-elite-and-dash-double-pack,Separar los componentes del producto antes de asignar créditos singulares.,3
robozarro,Robozarro,ps4-robozarro,developer | physical_publisher,developer=(empty); physical_publisher=Red Art Games,Frozen Flame Interactive [unresolved] | Red Art Games [red-art-games],HIGH,MISSING_DEVELOPER,1,red-art-games:122,https://store.playstation.com/es-es/product/EP2005-CUSA18794_00-ROBOZARROGAME000 | https://store.steampowered.com/app/984300 | https://www.pricecharting.com/game/pal-playstation-4/robozarro,Buscar una fuente primaria o física exacta para el rol que continúa vacío.,3
rock band 4,Rock Band 4 [Band-in-a-Box Bundle],ps4-rock-band-4-band-in-a-box-bundle,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Activision [activision],MEDIUM,MISSING_BOTH_CORE_ROLES | MULTI_PRODUCT_REVIEW,3,activision:494,https://www.pricecharting.com/game/pal-playstation-4/rock-band-4-band-in-a-box-bundle,Separar los componentes del producto antes de asignar créditos singulares.,3
rock band 4,Rock Band 4 [Guitar Bundle],ps4-rock-band-4-guitar-bundle,developer | physical_publisher,developer=(empty); physical_publisher=(empty),Activision [activision],MEDIUM,MISSING_BOTH_CORE_ROLES | MULTI_PRODUCT_REVIEW,3,activision:494,https://www.pricecharting.com/game/pal-playstation-4/rock-band-4-guitar-bundle,Separar los componentes del producto antes de asignar créditos singulares.,3
